檔案名,max累計水平距離,max累計爬升高度,max累計下降高度,max累計花費時間
HB桃山單攻 (8).csv,9912.89821005209,1530.062422158302,1518.7920690291676,0 days 08:49:28
HB桃山單攻 (9).csv,11578.340983291011,1574.2127961394074,1573.6436518127134,0 days 09:50:02
HB桃山單攻.csv,13078.324337938759,1714.144768001867,1719.653984090585,0 days 12:53:01
HB桃山單攻2022-07-22.csv,10004.13496511214,1371.7,1370.0,0 days 08:50:27
HB桃山單攻20220730.csv,12016.617413988677,1659.499385846481,1653.7643375811476,0 days 09:11:54
HB桃山單攻20240120.csv,9915.724698888755,1547.8347512198554,1551.9896144557047,0 days 09:06:12
HB桃山單攻20240714.csv,12176.104854638692,1799.1624946109816,1805.788547641801,0 days 10:45:49
HB桃山單攻無傷完登.csv,10396.14602146828,1820.4327239195245,1813.0748417291059,0 days 08:44:00
HB桃山單日單攻.csv,12814.809471894603,1715.5809383101873,1718.3299405541188,0 days 10:24:19
HB桃山單登 (1).csv,10190.748653703435,1558.8636414379262,1578.652808956772,0 days 10:10:09
HB桃山單登.csv,12126.460731790097,4841.896764414354,4992.863745774313,0 days 11:27:09
HB桃山完工.csv,11439.666166084022,1562.3006399312133,1556.6674287839928,0 days 08:25:43
HB桃山小辣椒.csv,11905.298173997537,1596.2473426616248,1587.199332100439,0 days 08:53:32
HB桃山步道 (1).csv,10095.148032168341,625.2706600495217,626.700518066411,0 days 03:54:22
HB桃山步道 (2).csv,9711.408428463043,692.0262385391586,712.6215141105336,0 days 02:50:00
HB桃山步道 (3).csv,6516.021801611649,477.4917077095424,472.61707680844233,0 days 02:41:05
HB桃山步道 (4).csv,8405.317930965839,594.7332257902535,587.7814544451871,0 days 02:45:28
HB桃山步道 (5).csv,2229.0668254721672,148.11381171364246,155.721963637508,0 days 01:01:35
HB桃山步道.csv,12552.44933593677,1713.477168738969,1689.3476221962928,0 days 09:46:14
HB桃山登山 (1).csv,9963.565118267425,1550.1784017127266,1466.2948779765777,0 days 11:18:18
HB桃山登山.csv,9963.565118267425,1550.1784017127266,1466.2948779765777,0 days 11:18:18
HB桃山百岳.csv,6165.653615155671,1535.6200584656249,144.1225969053728,0 days 07:05:05
HB桃山第八刷20240511.csv,9437.141664845863,1470.2997795045567,1468.7000518993987,0 days 06:13:56
HB桃山第十刷.csv,11315.009545836921,1757.8126645646926,1801.6309417715972,0 days 07:30:06
HB桃山行.csv,5244.94266935027,1461.9242535925844,39.074436281576254,0 days 05:04:09
HB桃山軟爛行程.csv,10119.887637948279,1588.5406040300063,1586.0311354389958,0 days 10:53:10
HB桃山🍑一日單攻.csv,10455.319986086273,1605.1750361760962,1610.5336931731738,0 days 10:49:37
HB桃山，2023-11-4 晚間輕裝.csv,11459.422235477363,1791.5716736845004,1789.450524715719,0 days 09:24:34
HB桃山，go.go.go.csv,14904.064604561541,1770.4909930594858,1774.227152468598,0 days 12:07:10
HB桃山￼.csv,3940.8117591879727,843.6422873196871,739.2982501281044,0 days 05:26:03
HB武陵一秀 - 桃山.csv,12929.325301646624,1864.3035778317474,1859.0247740772036,0 days 07:20:17
HB武陵桃山 (1).csv,13486.242602930412,1579.1947908049433,1585.6584029807345,0 days 11:08:39
HB武陵農場桃山.csv,3545.311863485748,411.8353576660156,1357.5172424316406,0 days 05:20:43
HB百岳-桃山 (1).csv,10710.423279897599,1590.7301878391327,1606.2730428069428,0 days 09:18:20
HB百岳-桃山.csv,10636.008216278402,1717.0032471568122,1700.3884860039489,0 days 09:27:58
HB石猴桃山沼平.csv,6300.728132056718,774.60009765625,768.224609375,0 days 01:51:50
HB聖誕桃山.csv,11429.237507909806,1842.0435080206164,1828.3548516002024,0 days 11:25:17
HN0521桃山單攻.csv,17097.76976368536,2760.0961269987592,2754.275910444542,0 days 10:12:27
HN1100514桃山.csv,12522.084859968018,2269.0,2269.0,0 days 10:19:25
HN1110925桃山.csv,16357.436430637312,2589.97916395225,2593.646611272436,0 days 09:41:22
HN1120521桃山單登.csv,14824.893955052006,2380.394386096851,2366.8817115202473,0 days 10:02:20
HN1130920單攻桃山.csv,14805.508065337473,4049.9106434105743,4055.5968854051875,0 days 08:26:07
HN13825桃山單攻.csv,13035.75407838461,2718.48291015625,2718.48291015625,0 days 12:07:58
